# Program:featureCounts v2.0.0; Command:"/Volumes/userdata/staff_users/michaelblack/bin/featureCounts" "-a" "../Genome/Saccharomyces_cerevisiae.R64-1-1.99.gtf" "-o" "yeast_counts_all_chr.txt" "../STAR/SRR014335-Aligned.out.sam" "../STAR/SRR014336-Aligned.out.sam" "../STAR/SRR014337-Aligned.out.sam" "../STAR/SRR014339-Aligned.out.sam" "../STAR/SRR014340-Aligned.out.sam" "../STAR/SRR014341-Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	../STAR/SRR014335-Aligned.out.sam	../STAR/SRR014336-Aligned.out.sam	../STAR/SRR014337-Aligned.out.sam	../STAR/SRR014339-Aligned.out.sam	../STAR/SRR014340-Aligned.out.sam	../STAR/SRR014341-Aligned.out.sam
YMR076C	XIII	416196	420029	-	3834	159	146	151	335	333	345
tV(AAC)M2	XIII	420588	420661	-	74	4	4	3	14	11	14
YMR077C	XIII	421484	422149	-	666	57	41	46	204	212	222
YMR078C	XIII	422503	424728	-	2226	246	229	217	370	392	429
YMR079W	XIII;XIII	424989;425154	424997;426059	+;+	915	570	569	545	509	571	511
YMR080C	XIII	426712	429627	-	2916	1016	935	969	572	592	581
YMR081C	XIII	430079	431095	-	1017	115	134	93	262	258	255
YMR082C	XIII	431769	432125	-	357	1	3	4	5	3	6
YMR083W	XIII	434788	435915	+	1128	831	875	761	1167	1181	1233
YMR084W	XIII	436628	437416	+	789	104	128	102	96	90	95
YMR085W	XIII	437491	438789	+	1299	249	229	212	181	196	210
YMR086W	XIII	439208	442090	+	2883	827	803	810	513	564	544
YMR086C-A	XIII	442026	442364	-	339	26	32	21	24	23	25
YMR087W	XIII	442527	443381	+	855	334	308	296	266	260	243
YMR088C	XIII	443414	445102	-	1689	829	783	773	513	489	465
YMR089C	XIII	445609	448086	-	2478	448	400	416	470	499	461
YMR090W	XIII	449245	449928	+	684	2021	1947	1926	1589	1591	1597
YMR091C	XIII	450058	451365	-	1308	326	306	312	327	330	308
YMR092C	XIII	451632	453479	-	1848	2276	2243	2148	1688	1685	1663
YMR093W	XIII	454015	455556	+	1542	124	113	114	182	187	190
YMR094W	XIII	455825	457261	+	1437	36	25	33	97	93	91
YMR095C	XIII	457285	457959	-	675	41	35	26	83	91	88
YMR096W	XIII	458408	459301	+	894	103	94	118	280	311	260
YMR097C	XIII	459424	460527	-	1104	119	144	128	324	340	327
YMR098C	XIII	460771	462609	-	1839	152	129	128	355	339	351
tD(GUC)M	XIII	463554	463625	+	72	1	2	0	1	0	5
YMR099C	XIII	463934	464827	-	894	514	514	460	693	733	719
YMR100W	XIII	466300	468162	+	1863	290	285	305	599	614	616
YMR101C	XIII	468445	469476	-	1032	7	14	12	31	43	35
YMR102C	XIII	469848	472352	-	2505	662	670	602	392	405	405
YMR103C	XIII	472902	473264	-	363	283	240	259	123	110	117
YMR104C	XIII	473420	475453	-	2034	683	665	661	346	357	328
YMR105C	XIII	475897	477606	-	1710	8689	8682	8501	1695	1711	1654
YMR105W-A	XIII	478064	478258	+	195	24	32	24	34	29	38
YMR106C	XIII	478301	480190	-	1890	206	214	205	262	292	284
tK(CUU)M	XIII	480621	480693	-	73	3	4	4	1	4	0
YMR107W	XIII	483014	483361	+	348	119	124	126	293	297	282
YMR108W	XIII	484084	486147	+	2064	1163	1194	1055	1056	1143	1052
YMR109W	XIII	486587	490246	+	3660	1068	1063	1101	571	589	596
YMR110C	XIII	490394	491992	-	1599	1324	1355	1304	1269	1353	1249
YMR111C	XIII	492404	493792	-	1389	158	178	178	380	368	369
YMR112C	XIII	494100	494495	-	396	59	61	71	241	277	243
YMR113W	XIII	494999	496282	+	1284	195	187	170	346	349	318
YMR114C	XIII	496343	497449	-	1107	164	144	158	308	303	318
YMR115W	XIII	497704	499209	+	1506	219	243	251	415	434	406
YMR116C	XIII;XIII	499456;500152	499878;500688	-;-	960	11376	11187	11009	7336	7424	7076
snR24	XIII	499984	500072	-	89	98	84	75	3950	3931	3855
YMR117C	XIII	501250	501891	-	642	40	40	49	187	213	225
YMR118C	XIII	502144	502734	-	591	142	160	155	236	252	250
tL(CAA)M	XIII;XIII	504895;504965	504932;505008	+;+	82	0	0	0	0	2	1
YMR119W	XIII	505333	507207	+	1875	364	349	355	331	338	295
YMR119W-A	XIII	506996	507370	+	375	11	13	13	12	15	8
YMR120C	XIII	507502	509280	-	1779	314	329	331	269	259	249
YMR121C	XIII	509734	510348	-	615	239	206	232	246	272	259
YMR122C	XIII	510701	511075	-	375	131	119	116	106	130	134
YMR122W-A	XIII	511315	511569	+	255	6656	6652	6513	1716	1774	1698
YMR123W	XIII	513593	513961	+	369	211	224	201	305	314	328
YMR124W	XIII	514456	517287	+	2832	508	547	551	516	544	513
YMR125W	XIII;XIII	517539;517886	517563;520446	+;+	2586	302	314	319	617	651	612
YMR126C	XIII	520761	521789	-	1029	70	77	71	108	106	84
YMR127C	XIII	522329	523345	-	1017	76	63	67	207	177	188
YMR128W	XIII	523696	527499	+	3804	133	124	139	513	459	502
YMR129W	XIII	527804	531817	+	4014	757	760	770	712	760	704
YMR130W	XIII	532119	533027	+	909	123	125	124	224	264	228
YMR131C	XIII	533163	534698	-	1536	88	93	95	651	693	665
YMR132C	XIII	534944	535570	-	627	46	31	30	195	230	206
YMR133W	XIII;XIII	536207;537565	537448;537609	+;+	1287	297	300	284	199	241	198
YMR134W	XIII	537838	538551	+	714	77	77	80	125	102	97
YMR135C	XIII	538689	540056	-	1368	574	589	561	271	298	319
YMR135W-A	XIII	539911	540444	+	534	22	24	16	6	6	6
YMR136W	XIII	541199	542881	+	1683	182	176	183	44	66	43
YMR137C	XIII	542978	544963	-	1986	122	137	117	252	250	228
YMR138W	XIII	545155	545730	+	576	44	43	25	231	233	235
YMR139W	XIII	546125	547237	+	1113	616	579	619	544	607	529
YMR140W	XIII	547714	549183	+	1470	784	834	775	947	1003	962
YMR141C	XIII	549736	550044	-	309	113	104	114	172	182	193
YMR142C	XIII;XIII	550206;551204	550801;551207	-;-	600	1822	1823	1817	3550	3660	3539
YMR141W-A	XIII	550911	551135	+	225	4	6	1	22	16	22
YMR143W	XIII;XIII	551928;552496	551951;552903	+;+	432	1006	1035	1084	2795	2781	2815
YMR144W	XIII	553362	554390	+	1029	108	89	103	232	248	213
YMR145C	XIII	554793	556475	-	1683	701	739	706	725	658	699
YMR146C	XIII	557481	558524	-	1044	755	760	730	930	970	979
YMR147W	XIII	559199	559870	+	672	138	139	122	137	126	145
YMR148W	XIII	560366	560812	+	447	325	356	338	273	259	224
YMR149W	XIII	560996	561856	+	861	1723	1717	1683	1530	1605	1549
YMR150C	XIII	561956	562528	-	573	190	196	188	319	341	309
YMR151W	XIII	562506	562943	+	438	37	28	40	84	115	99
YMR152W	XIII	563096	564193	+	1098	724	776	690	748	799	760
YMR153W	XIII	564435	565862	+	1428	329	318	306	446	455	478
YMR153C-A	XIII	565574	565909	-	336	25	23	21	45	37	36
YMR154C	XIII	565999	568182	-	2184	174	172	208	211	241	197
YMR155W	XIII	568551	570194	+	1644	533	554	545	564	645	613
YMR156C	XIII	570300	571016	-	717	102	85	86	209	223	225
YMR157C	XIII	571277	572044	-	768	144	133	138	324	313	287
YMR158W	XIII	572248	572715	+	468	68	68	74	222	232	239
tM(CAU)M	XIII	572883	572955	-	73	1	1	0	6	3	2
YMR158C-A	XIII	573194	573331	-	138	19	17	14	28	28	27
YMR158W-B	XIII	574471	574791	+	321	0	0	0	0	0	2
YMR159C	XIII	574476	574928	-	453	11	9	11	17	13	16
YMR160W	XIII	575066	577516	+	2451	428	384	368	386	422	370
YMR161W	XIII	577718	578392	+	675	377	361	357	375	411	398
YMR162C	XIII	578951	583921	-	4971	822	794	854	808	822	816
YMR163C	XIII	584271	586388	-	2118	92	101	102	303	316	292
tV(AAC)M3	XIII	586636	586709	-	74	0	0	0	0	4	0
YMR164C	XIII	587274	589550	-	2277	503	522	493	417	453	394
YMR165C	XIII	590040	592628	-	2589	445	455	424	291	296	303
YMR166C	XIII	593367	594473	-	1107	162	141	176	84	114	104
YMR167W	XIII	594886	597195	+	2310	174	177	203	252	243	263
YMR168C	XIII	597332	599158	-	1827	199	187	173	315	267	276
YMR169C	XIII	599352	600872	-	1521	8924	8789	8457	3681	3851	3726
YMR170C	XIII	601562	603082	-	1521	355	359	317	337	295	301
YMR171C	XIII	603868	605520	-	1653	1033	1064	906	708	789	787
YMR172W	XIII	605981	608140	+	2160	333	335	334	392	406	413
YMR172C-A	XIII	607828	608211	-	384	3	10	6	15	6	4
YMR173W	XIII	608689	609981	+	1293	997	1004	918	643	618	605
YMR173W-A	XIII	608897	610081	+	1185	270	320	272	230	218	200
YMR174C	XIII	610159	610365	-	207	283	257	243	275	270	250
YMR175W	XIII	611016	611255	+	240	213	165	168	426	412	434
YMR175W-A	XIII	611314	611508	+	195	10	10	10	14	22	19
YMR176W	XIII	611740	615975	+	4236	447	434	414	527	564	613
YMR177W	XIII	616566	618098	+	1533	122	124	132	164	164	172
YMR178W	XIII	618479	619303	+	825	268	250	259	463	447	403
YMR179W	XIII	619858	622134	+	2277	125	100	96	147	167	177
YMR180C	XIII	622251	623213	-	963	274	248	253	368	391	391
YMR181C	XIII	623616	624080	-	465	549	492	527	388	365	352
YMR182C	XIII	624532	625167	-	636	248	240	253	181	201	173
YMR182W-A	XIII	625811	625897	+	87	9	10	9	7	13	13
snR83	XIII	626349	626654	+	306	211	193	183	2608	2825	2580
YMR183C	XIII	626921	627808	-	888	556	570	527	586	578	563
YMR184W	XIII	628189	628785	+	597	205	189	194	304	306	311
YMR185W	XIII	629025	631970	+	2946	72	55	48	353	346	352
YMR186W	XIII	632355	634472	+	2118	6439	6595	6519	6305	6371	6216
YMR187C	XIII	634689	635984	-	1296	68	64	56	134	108	140
YMR188C	XIII	636291	637004	-	714	100	91	83	393	419	389
YMR189W	XIII	637500	640604	+	3105	922	912	909	655	619	661
YMR190C	XIII	640915	645258	-	4344	457	523	430	435	462	467
YMR191W	XIII	645656	646777	+	1122	2312	2321	2308	2216	2348	2255
YMR192W	XIII	647118	649280	+	2163	196	194	177	209	211	203
YMR193W	XIII	650036	650812	+	777	41	59	66	205	187	229
YMR193C-A	XIII	651072	651458	-	387	5	7	3	26	41	38
YMR194W	XIII;XIII	651145;651624	651160;651910	+;+	303	189	220	214	514	528	521
snR11	XIII	652275	652532	+	258	158	132	139	2656	2713	2580
YMR194C-B	XIII;XIII	652594;652848	652775;652887	-;-	222	150	156	141	2724	2742	2757
YMR194C-A	XIII	652912	653136	-	225	69	74	64	526	542	532
YMR195W	XIII	654034	654417	+	384	149	142	133	144	141	165
YMR196W	XIII	655076	658342	+	3267	7028	7088	6966	1385	1413	1445
YMR197C	XIII	658545	659198	-	654	362	313	314	478	475	441
YMR198W	XIII	659745	661529	+	1785	163	164	176	456	465	451
YMR199W	XIII	662644	664284	+	1641	174	178	190	234	252	247
YMR200W	XIII	664752	665522	+	771	729	715	761	722	661	710
YMR201C	XIII;XIII	665845;667018	666933;667044	-;-	1116	178	159	157	318	297	292
RNA170	XIII	667288	667456	-	169	25	39	27	168	178	167
YMR202W	XIII	667537	668205	+	669	1251	1087	1125	1121	1137	1061
YMR203W	XIII	668492	669655	+	1164	2358	2377	2212	1643	1638	1552
YMR204C	XIII	670063	671325	-	1263	83	73	74	154	149	133
YMR205C	XIII	671887	674766	-	2880	11040	10917	10662	6280	6366	6313
YMR206W	XIII	675896	676837	+	942	88	95	94	92	112	90
YMR207C	XIII	677193	683564	-	6372	569	550	529	525	501	531
YMR208W	XIII	684467	685798	+	1332	207	182	207	184	196	165
YMR209C	XIII	685911	687284	-	1374	313	343	278	220	234	216
YMR210W	XIII	687516	688865	+	1350	455	451	448	470	512	553
YMR211W	XIII	689083	690510	+	1428	61	70	88	167	187	187
YMR212C	XIII	690695	693043	-	2349	443	437	467	474	490	440
YMR213W	XIII	693381	695153	+	1773	129	123	115	145	137	142
YMR214W	XIII	695350	696483	+	1134	446	451	488	228	246	233
YMR215W	XIII	696796	698370	+	1575	617	628	575	357	404	411
YMR216C	XIII	698811	701039	-	2229	718	697	664	608	666	606
YMR217W	XIII	701790	703367	+	1578	427	429	396	1010	981	961
YMR218C	XIII	703579	706887	-	3309	243	244	287	412	435	367
YMR219W	XIII	707133	712109	+	4977	348	329	294	491	488	449
YMR220W	XIII	712316	713671	+	1356	513	465	457	735	794	766
YMR221C	XIII	713931	715445	-	1515	1000	1016	993	1097	1118	1184
YMR222C	XIII	715638	716309	-	672	239	251	254	374	378	330
YMR223W	XIII	716715	718130	+	1416	201	226	244	321	312	321
YMR224C	XIII	718575	720653	-	2079	152	133	164	190	190	134
YMR225C	XIII;XIII	720960;721346	721198;721403	-;-	297	53	49	61	173	198	148
YMR226C	XIII	721593	722396	-	804	1806	1796	1689	2158	2257	2121
YMR227C	XIII	722613	724385	-	1773	214	196	175	274	256	252
YMR228W	XIII	724626	725651	+	1026	49	49	52	96	124	98
YMR229C	XIII	725934	731123	-	5190	71	76	55	559	572	566
YMR230W	XIII;XIII	732414;732876	732465;733141	+;+	318	703	663	711	2195	2173	2122
YMR230W-A	XIII	733268	733456	+	189	3	5	6	25	27	26
YMR231W	XIII	733545	736634	+	3090	472	471	458	603	634	570
YMR232W	XIII	736926	738959	+	2034	146	126	149	125	129	129
YMR233W	XIII	739185	739865	+	681	42	37	54	76	100	69
YMR234W	XIII	740266	741312	+	1047	166	153	146	234	227	216
YMR235C	XIII	741512	742735	-	1224	873	828	778	1163	1243	1159
YMR236W	XIII	742971	743444	+	474	573	561	556	761	748	746
YMR237W	XIII	743749	745923	+	2175	1227	1313	1239	980	990	943
YMR238W	XIII	746353	747729	+	1377	540	533	572	316	307	288
tR(UCU)M1	XIII	747892	747963	-	72	1	0	0	0	0	1
YMR239C	XIII	748262	749677	-	1416	41	52	35	179	198	186
YMR240C	XIII	749930	751240	-	1311	198	213	222	639	663	621
YMR241W	XIII	751961	752905	+	945	441	497	440	448	421	389
YMR242C	XIII	753225	753742	-	518	904	957	831	1770	1882	1775
YMR242W-A	XIII	754297	754386	+	90	31	38	34	43	27	25
YMR243C	XIII	754838	756166	-	1329	994	971	959	1076	1132	1088
YMR244W	XIII	757250	758317	+	1068	57	54	48	65	60	53
YMR244C-A	XIII	758517	758831	-	315	6	10	7	19	35	28
YMR245W	XIII	758563	759183	+	621	23	18	27	60	71	75
YMR246W	XIII	759807	761891	+	2085	853	811	820	1299	1283	1335
snR86	XIII	762110	763113	-	1004	195	213	181	6625	6741	6402
YMR247C	XIII	763351	768039	-	4689	1039	973	978	835	876	854
tA(AGC)M2	XIII	768369	768441	-	73	1	1	2	2	0	3
YMR247W-A	XIII	769283	769426	+	144	18	14	20	11	14	13
YMR250W	XIII	770801	772558	+	1758	6320	6289	6063	1800	1828	1813
YMR251W	XIII	772915	774015	+	1101	534	483	491	434	464	503
YMR251W-A	XIII	774752	774931	+	180	13714	13394	13117	10120	10121	9800
YMR252C	XIII	775315	775719	-	405	211	197	200	195	201	207
YMR253C	XIII	775946	777190	-	1245	437	469	439	284	245	263
YMR254C	XIII	777615	777923	-	309	30	34	28	50	54	62
YMR255W	XIII	778001	778567	+	567	114	124	130	180	201	185
YMR256C	XIII	778945	779127	-	183	125	127	130	299	310	250
YMR257C	XIII	779629	782031	-	2403	117	135	120	212	213	195
YMR258C	XIII	782620	784281	-	1662	314	330	279	246	269	238
YMR259C	XIII	784621	788883	-	4263	149	139	120	400	410	383
YMR260C	XIII	789378	789839	-	462	409	415	399	1811	1842	1800
YMR261C	XIII	790205	793369	-	3165	4518	4497	4478	1509	1411	1414
YMR262W	XIII	793726	794667	+	942	784	798	706	410	437	407
YMR263W	XIII	794919	795524	+	606	260	240	212	383	364	355
YMR264W	XIII	795805	796416	+	612	452	436	419	384	352	344
YMR265C	XIII	796540	797925	-	1386	554	531	575	483	510	500
YMR266W	XIII	798518	801379	+	2862	1390	1406	1326	772	725	736
YMR267W	XIII	801772	802704	+	933	102	88	100	164	173	171
YMR268C	XIII	802888	804222	-	1335	63	69	50	120	89	123
YMR269W	XIII	804456	805091	+	636	32	25	24	408	449	456
YMR270C	XIII	805326	806423	-	1098	126	138	147	253	279	271
YMR271C	XIII	806865	807548	-	684	138	108	117	136	160	136
tQ(CUG)M	XIII	808246	808317	-	72	27	19	21	34	24	32
YMR272C	XIII	809623	810777	-	1155	1150	1119	1233	491	493	459
YMR272W-A	XIII	810466	810579	+	114	0	0	0	0	0	0
YMR272W-B	XIII	811089	811196	+	108	11	8	11	5	10	13
YMR273C	XIII	811233	813980	-	2748	326	320	333	316	294	291
YMR274C	XIII	814364	815311	-	948	180	167	180	202	214	215
YMR275C	XIII	815651	818581	-	2931	669	669	681	399	400	429
YMR276W	XIII	818827	819948	+	1122	674	684	655	231	270	254
YMR277W	XIII	820256	822454	+	2199	522	480	532	290	317	287
YMR278W	XIII	822763	824631	+	1869	394	392	430	517	563	518
YMR279C	XIII	824729	826351	-	1623	328	352	314	237	246	216
YMR280C	XIII	827028	831329	-	4302	500	472	480	317	365	321
YMR281W	XIII	832339	833253	+	915	249	264	260	259	274	230
YMR282C	XIII	833356	835098	-	1743	148	134	132	259	282	255
YMR283C	XIII	835326	836867	-	1542	89	99	107	192	223	201
tY(GUA)M2	XIII;XIII	837928;837981	837966;838016	+;+	75	0	0	0	0	3	0
YMR284W	XIII	838187	839995	+	1809	176	185	191	338	376	382
YMR285C	XIII	840144	841691	-	1548	210	255	231	259	304	314
YMR286W	XIII	841942	842202	+	261	65	63	67	152	193	172
YMR287C	XIII	842436	845345	-	2910	111	91	105	190	196	204
YMR288W	XIII	845571	848486	+	2916	155	179	158	215	202	233
YMR289W	XIII	848685	849809	+	1125	186	169	161	232	270	237
YMR290C	XIII	850074	851591	-	1518	62	96	71	225	216	195
YMR290W-A	XIII	851422	851769	+	348	9	12	9	20	20	20
YMR291W	XIII	852630	854390	+	1761	2156	2290	2187	1549	1460	1429
YMR292W	XIII;XIII	854795;854899	854816;855293	+;+	417	155	164	151	349	385	333
YMR293C	XIII	855399	856793	-	1395	122	100	112	160	155	180
YMR294W	XIII	856966	858087	+	1122	69	69	62	286	275	284
YMR294W-A	XIII	858209	858568	+	360	6	1	8	9	14	8
YMR295C	XIII	858297	858890	-	594	704	656	672	576	571	542
YMR296C	XIII	859215	860891	-	1677	1946	1908	1875	699	726	673
YMR297W	XIII	861922	863520	+	1599	18332	18225	17597	6908	7178	7037
YMR298W	XIII	863819	864271	+	453	415	387	336	472	531	475
YMR299C	XIII	864412	865350	-	939	172	151	142	392	398	404
YMR300C	XIII	865559	867091	-	1533	221	185	207	182	195	210
YMR301C	XIII	867555	869627	-	2073	161	185	163	182	160	187
YMR302C	XIII	870073	872625	-	2553	733	743	720	965	937	909
YMR303C	XIII	873291	874337	-	1047	270	304	265	183	186	190
YMR304W	XIII	874987	878679	+	3693	1142	1114	1119	646	596	611
YMR304C-A	XIII	878780	879130	-	351	101	99	90	143	133	128
YMR305C	XIII	879063	880232	-	1170	2306	2238	2182	2449	2379	2296
YMR306W	XIII	881159	886516	+	5358	199	208	208	330	376	363
YMR306C-A	XIII	886183	886572	-	390	5	2	0	1	1	4
YMR307W	XIII	887003	888682	+	1680	2831	2766	2663	1419	1547	1402
YMR307C-A	XIII	887731	887925	-	195	0	0	0	0	0	0
YMR308C	XIII	888952	892221	-	3270	1080	1166	1107	1193	1173	1167
YMR309C	XIII	892988	895426	-	2439	439	413	427	622	674	645
YMR310C	XIII	895716	896669	-	954	72	78	78	248	232	243
YMR311C	XIII	896914	897603	-	690	545	565	533	1327	1298	1254
YMR312W	XIII	898405	899226	+	822	151	156	131	280	288	272
YMR313C	XIII	899379	901307	-	1929	644	595	576	427	433	447
YMR314W	XIII	901709	902413	+	705	1061	1094	1023	933	967	967
YMR315W	XIII	902800	903849	+	1050	2174	2276	2149	1007	956	877
YMR315W-A	XIII	904286	904393	+	108	10	11	10	29	49	51
YMR316W	XIII	904825	905835	+	1011	397	406	406	733	695	747
YMR316C-A	XIII	905662	905973	-	312	23	17	17	31	47	36
YMR316C-B	XIII	907321	907629	-	309	2	3	2	4	4	3
YMR317W	XIII	907364	910786	+	3423	386	417	396	485	524	456
YMR318C	XIII	911061	912143	-	1083	1499	1516	1431	738	738	733
YMR319C	XIII	912880	914538	-	1659	368	346	364	400	400	385
YMR320W	XIII	916746	917051	+	306	62	51	47	86	92	103
YMR321C	XIII	917579	917896	-	318	1	8	0	6	11	8
YMR322C	XIII	918366	919079	-	714	0	0	1	3	4	3
YMR323W	XIII	920088	921401	+	1314	12	7	8	3	6	9
YMR324C	XIII	922202	922444	-	243	0	0	1	0	0	0
YMR325W	XIII	922641	923015	+	375	1	0	1	3	0	0
YMR326C	XIII	923494	923802	-	309	0	3	0	2	0	0
YBL113C	II	280	2658	-	2379	20	22	26	40	36	37
YBL113W-A	II	646	1128	+	483	0	0	0	0	0	0
YBL112C	II	2582	2899	-	318	0	0	0	1	1	0
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	2	1	0	3	1	1
YBL109W	II	5790	6125	+	336	12	11	13	130	151	99
YBL108C-A	II	7605	7733	-	129	1	1	0	0	0	0
YBL108W	II	8177	8482	+	306	0	0	0	1	0	2
YBL107W-A	II	9268	9372	+	105	0	0	0	0	0	0
tL(UAA)B1	II	9583	9666	+	84	0	0	0	2	2	2
YBL107C	II	9961	10551	-	591	28	34	29	187	165	157
YBL106C	II	10847	13879	-	3033	244	205	217	347	314	310
YBL105C	II	14241	17696	-	3456	732	733	682	754	791	702
YBL104C	II	18177	21293	-	3117	195	208	208	233	243	220
YBL103C	II	22076	23536	-	1461	307	283	303	334	362	324
YBL102W	II	24098	24745	+	648	389	415	371	371	353	356
YBL101C	II	24946	28299	-	3354	1274	1193	1201	705	689	662
YBL100W-C	II	28427	28546	+	120	5	3	3	5	8	9
YBL100W-A	II	29935	31251	+	1317	0	0	0	0	0	0
YBL100W-B	II	29935	35248	+	5314	37	40	27	50	47	43
tF(GAA)B	II;II	36398;36453	36434;36488	+;+	73	0	0	2	1	2	1
YBL100C	II	36989	37303	-	315	49	40	33	36	50	33
YBL099W	II	37053	38690	+	1638	3112	3044	3010	1482	1475	1559
YBL098W	II	39145	40527	+	1383	271	300	262	465	439	414
YBL097W	II	40831	43095	+	2265	201	189	206	357	326	318
YBL096C	II	43174	43482	-	309	8	5	6	11	16	15
YBL095W	II	43277	44089	+	813	105	105	103	88	86	74
YBL094C	II	43765	44097	-	333	0	0	0	0	2	0
YBL093C	II	44256	44918	-	663	278	271	328	787	886	826
YBL092W	II	45978	46370	+	393	2439	2378	2296	4388	4491	4375
YBL091C-A	II;II	46565;47147	47058;47180	-;-	528	147	163	138	270	271	307
YBL091C	II	47363	48628	-	1266	1032	1004	968	1656	1745	1642
YBL090W	II	48825	49358	+	534	88	82	66	270	250	198
YBL089W	II	49574	50953	+	1380	283	275	301	352	379	340
YBL088C	II	51019	59382	-	8364	505	495	499	864	944	871
YBL087C	II;II	59822;60698	60193;60739	-;-	414	1035	1108	1104	1610	1558	1503
YBL086C	II	61202	62602	-	1401	520	502	456	843	907	858
YBL085W	II	63876	66818	+	2943	533	570	564	519	518	554
YBL084C	II	67169	69445	-	2277	357	339	342	306	301	285
YBL083C	II	69713	70138	-	426	3	1	1	0	2	0
YBL082C	II	69751	71127	-	1377	422	404	376	236	241	238
YBL081W	II	71866	72972	+	1107	345	380	351	283	317	253
YBL080C	II	73070	74695	-	1626	179	148	170	201	182	177
YBL079W	II	75259	79767	+	4509	847	837	796	915	973	938
YBL078C	II	80378	80731	-	354	150	169	167	251	267	256
YBL077W	II	80897	81328	+	432	14	10	6	21	13	17
YBL076C	II	81043	84261	-	3219	1458	1476	1451	1568	1672	1680
YBL075C	II	84499	86448	-	1950	1138	1186	1118	646	627	587
YBL074C	II	86722	87789	-	1068	104	127	122	170	171	187
YBL073W	II	87646	87957	+	312	5	2	2	11	14	6
snR56	II	88190	88277	+	88	9	9	3	1491	1569	1487
YBL072C	II	88523	89125	-	603	1038	1003	990	1707	1772	1697
YBL071C-B	II	89458	89556	-	99	3	9	4	10	16	17
YBL071W-A	II	89978	90226	+	249	48	53	50	129	142	144
YBL071C	II	90223	90531	-	309	36	35	42	148	111	133
YBL070C	II	90605	90925	-	321	8	12	15	17	11	17
YBL069W	II	90741	92030	+	1290	113	117	124	99	68	74
YBL068W-A	II	91794	92030	+	237	0	0	0	0	0	0
YBL068W	II	92414	93394	+	981	97	106	113	274	276	264
YBL067C	II	93639	95882	-	2244	324	346	296	289	288	260
YBL066C	II	96669	100115	-	3447	484	445	475	327	336	339
YBL065W	II	99963	100307	+	345	3	11	5	28	22	24
YBL064C	II	100371	101156	-	786	3061	3152	3033	2954	2977	2828
YBL063W	II	101886	105221	+	3336	100	100	86	208	202	207
YBL062W	II	105308	105688	+	381	0	0	0	0	3	1
YBL061C	II	105316	107406	-	2091	225	223	215	379	360	349
YBL060W	II	107932	109995	+	2064	153	138	145	268	286	278
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	38	39	30	129	104	110
YBL059W	II;II	110594;110949	110879;111244	+;+	582	52	53	51	129	141	145
YBL058W	II	111437	112708	+	1272	1996	2095	2007	1925	1957	1872
YBL057C	II	112801	113427	-	627	411	401	348	650	645	716
YBL056W	II	113762	115168	+	1407	1398	1473	1470	1295	1278	1208
YBL055C	II	115573	116829	-	1257	367	380	397	468	489	403
YBL054W	II	117589	119166	+	1578	80	66	54	255	254	259
YBL053W	II	119335	119709	+	375	0	0	1	2	5	1
YBL052C	II	119379	121874	-	2496	85	84	75	175	181	176
YBL051C	II	122753	124759	-	2007	956	897	839	908	947	846
YBL050W	II;II	125125;125271	125154;126119	+;+	879	601	570	551	803	834	827
YBL049W	II	126828	127244	+	417	100	84	83	141	161	126
YBL048W	II	127299	127610	+	312	14	17	12	26	30	42
YBL047C	II	127895	132040	-	4146	4576	4593	4475	1821	1821	1724
YBL046W	II	132424	133749	+	1326	262	300	279	350	375	406
YBL045C	II	134143	135516	-	1374	1348	1365	1347	949	990	927
YBL044W	II	135998	136366	+	369	101	102	63	62	56	77
YBL043W	II	136688	137461	+	774	27	16	25	43	41	47
YBL042C	II	138341	140260	-	1920	250	264	281	732	717	678
YBL041W	II	141247	141972	+	726	1368	1396	1444	2832	2724	2680
YBL040C	II;II	142112;142847	142749;142868	-;-	660	318	327	304	681	677	747
YBL039W-B	II	143393	143572	+	180	30	42	34	80	88	96
YBL039C	II	143989	145728	-	1740	40	50	45	391	396	422
YBL039C-A	II	144948	145031	-	84	0	0	0	0	0	0
YBL038W	II	146187	146885	+	699	145	143	137	476	488	458
YBL037W	II	147209	150286	+	3078	254	299	281	216	234	249
YBL036C	II	150447	151220	-	774	238	243	221	789	834	807
YBL035C	II	151493	153610	-	2118	225	242	213	267	296	260
YBL034C	II	153848	158389	-	4542	419	419	383	558	582	565
YBL033C	II	158656	159693	-	1038	500	513	505	509	551	522
YBL032W	II	160184	161329	+	1146	654	650	654	447	473	462
YBL031W	II	161699	162715	+	1017	60	58	45	109	94	91
YBL030C	II	163041	163997	-	957	2691	2836	2655	1113	1207	1105
YBL029C-A	II	164488	164772	-	285	118	126	122	298	293	294
YBL029W	II	166134	167264	+	1131	82	82	76	181	197	171
YBL028C	II	167518	167838	-	321	9	8	8	164	164	157
YBL027W	II;II	168423;168809	168424;169376	+;+	570	1493	1498	1502	2731	2793	2617
YBL026W	II;II	170623;170805	170676;171038	+;+	288	51	54	59	293	252	281
YBL025W	II	171481	171918	+	438	74	60	66	126	151	138
YBL024W	II	172534	174588	+	2055	365	352	343	413	424	367
YBL023C	II	174920	177526	-	2607	262	285	264	185	198	179
YBL022C	II	177874	181275	-	3402	1249	1274	1245	860	868	829
